date,region,category,unit_price,quantity,discount_pct,revenue
2024-01-01,North,Electronics,348.7,2,0,697.4
2024-01-01,East,Books,23.84,2,0,47.67
2024-01-01,North,Clothing,15.61,1,0,15.61
2024-01-01,South,Electronics,309.4,4,0,1237.59
2024-01-01,South,Sports,61.01,4,0,244.05
2024-01-01,West,Home & Garden,51.51,1,0,51.51
2024-01-01,West,Books,17.0,1,0,17.0
2024-01-01,North,Home & Garden,98.95,4,0,395.8
2024-01-01,North,Books,24.11,2,0,48.23
2024-01-01,North,Home & Garden,55.58,1,20,44.47
2024-01-01,East,Books,21.09,4,0,84.37
2024-01-01,East,Home & Garden,97.64,2,0,195.27
2024-01-01,South,Clothing,39.82,4,0,159.27
2024-01-01,North,Clothing,56.89,1,0,56.89
2024-01-01,West,Sports,68.73,3,5,195.89
2024-01-01,East,Books,24.44,2,0,48.88
2024-01-01,West,Home & Garden,70.42,3,0,211.25
2024-01-01,East,Home & Garden,76.29,2,10,137.32
2024-01-02,East,Sports,82.43,3,0,247.29
2024-01-02,East,Electronics,271.14,4,0,1084.55
2024-01-02,North,Home & Garden,81.84,2,0,163.67
2024-01-02,East,Home & Garden,40.25,1,0,40.25
2024-01-02,North,Clothing,50.64,2,0,101.28
2024-01-02,North,Clothing,58.03,2,0,116.06
2024-01-02,West,Books,16.49,1,0,16.49
2024-01-02,North,Clothing,41.31,3,0,123.94
2024-01-02,South,Clothing,40.55,4,0,162.2
2024-01-02,North,Electronics,231.93,4,5,881.33
2024-01-02,South,Books,10.41,1,20,8.32
2024-01-02,North,Books,19.87,4,0,79.47
2024-01-02,North,Books,17.13,4,0,68.51
2024-01-02,East,Home & Garden,71.57,3,5,203.97
2024-01-02,North,Sports,81.04,2,0,162.08
2024-01-03,East,Books,12.99,4,0,51.96
2024-01-03,North,Home & Garden,92.98,4,15,316.14
2024-01-03,South,Home & Garden,55.54,4,0,222.17
2024-01-03,South,Electronics,300.84,2,20,481.35
2024-01-03,South,Clothing,31.15,1,0,31.15
2024-01-03,West,Books,12.8,3,5,36.48
2024-01-03,West,Books,25.95,2,5,49.31
2024-01-03,East,Electronics,268.32,1,0,268.32
2024-01-03,South,Clothing,36.96,3,0,110.89
2024-01-03,North,Sports,48.73,4,0,194.93
2024-01-04,South,Home & Garden,57.39,3,0,172.17
2024-01-04,North,Electronics,245.18,2,15,416.81
2024-01-04,South,Clothing,48.84,1,0,48.84
2024-01-04,South,Electronics,189.81,3,5,540.96
2024-01-04,North,Books,24.89,2,20,39.82
2024-01-04,West,Clothing,50.32,3,20,120.78
2024-01-04,North,Clothing,44.18,4,10,159.05
2024-01-04,South,Electronics,294.38,2,15,500.45
2024-01-04,North,Electronics,255.78,3,20,613.87
2024-01-04,North,Home & Garden,87.16,1,0,87.16
2024-01-04,East,Home & Garden,91.22,2,10,164.19
2024-01-04,West,Books,20.12,1,0,20.12
2024-01-04,North,Electronics,304.49,2,5,578.54
2024-01-04,West,Clothing,36.31,3,0,108.92
2024-01-04,South,Electronics,235.2,2,0,470.4
2024-01-04,East,Electronics,194.18,1,10,174.76
2024-01-04,North,Books,18.33,3,0,54.98
2024-01-04,North,Home & Garden,122.88,4,0,491.52
2024-01-05,North,Electronics,289.62,2,10,521.32
2024-01-05,East,Clothing,41.24,2,0,82.48
2024-01-05,North,Electronics,230.13,1,0,230.13
2024-01-05,West,Sports,91.83,3,0,275.5
2024-01-05,East,Electronics,314.53,2,0,629.06
2024-01-05,North,Electronics,235.16,2,5,446.81
2024-01-05,West,Clothing,66.06,2,0,132.12
2024-01-05,South,Home & Garden,71.2,3,0,213.6
2024-01-05,West,Home & Garden,82.61,4,0,330.46
2024-01-05,North,Electronics,237.35,4,0,949.39
2024-01-05,West,Home & Garden,81.22,3,0,243.65
2024-01-05,South,Home & Garden,76.96,1,0,76.96
2024-01-05,North,Clothing,51.62,4,0,206.47
2024-01-05,North,Electronics,219.6,4,0,878.39
2024-01-06,North,Clothing,47.34,2,0,94.67
2024-01-06,East,Books,24.06,1,0,24.06
2024-01-06,South,Home & Garden,92.59,3,20,222.22
2024-01-06,South,Clothing,37.47,2,0,74.94
2024-01-06,North,Home & Garden,103.24,3,5,294.23
2024-01-06,North,Books,26.53,2,0,53.05
2024-01-06,North,Electronics,251.31,1,15,213.62
2024-01-06,North,Clothing,66.51,1,0,66.51
2024-01-06,East,Home & Garden,101.3,1,5,96.24
2024-01-06,East,Sports,59.82,3,20,143.56
2024-01-06,North,Sports,46.54,1,0,46.54
2024-01-06,North,Electronics,288.37,1,10,259.53
2024-01-06,South,Electronics,334.87,1,10,301.38
2024-01-06,East,Electronics,159.49,4,0,637.98
2024-01-06,West,Home & Garden,51.85,4,0,207.4
2024-01-06,North,Sports,29.44,2,0,58.89
2024-01-06,South,Clothing,62.66,2,0,125.33
2024-01-06,North,Electronics,270.17,1,0,270.17
2024-01-06,North,Clothing,35.69,4,0,142.77
2024-01-06,West,Electronics,254.35,3,15,648.6
2024-01-06,North,Home & Garden,99.67,1,0,99.67
2024-01-06,East,Home & Garden,123.06,2,0,246.13
2024-01-06,East,Books,16.16,2,20,25.86
2024-01-06,West,Clothing,28.66,4,0,114.62
2024-01-06,South,Electronics,299.0,4,0,1196.0
2024-01-06,West,Books,21.71,1,0,21.71
2024-01-06,East,Clothing,66.11,1,15,56.19
2024-01-06,West,Books,23.71,2,0,47.42
2024-01-07,North,Clothing,61.61,2,10,110.9
2024-01-07,West,Electronics,142.93,2,10,257.27
2024-01-07,East,Electronics,334.62,1,0,334.62
2024-01-07,North,Electronics,266.21,3,5,758.7
2024-01-07,West,Home & Garden,86.05,1,15,73.14
2024-01-07,West,Electronics,183.27,3,0,549.82
2024-01-07,North,Books,19.29,4,0,77.15
2024-01-07,South,Electronics,265.15,2,10,477.26
2024-01-07,South,Sports,90.71,4,0,362.84
2024-01-07,West,Clothing,52.26,2,10,94.07
2024-01-07,West,Home & Garden,107.37,2,0,214.75
2024-01-07,East,Clothing,54.97,4,0,219.87
2024-01-07,South,Books,19.31,2,0,38.63
2024-01-07,West,Books,11.48,4,0,45.93
2024-01-07,East,Clothing,44.38,2,0,88.75
2024-01-07,North,Electronics,181.17,4,0,724.69
2024-01-07,West,Home & Garden,89.75,4,0,359.01
2024-01-07,North,Electronics,216.86,1,0,216.86
2024-01-07,South,Home & Garden,64.14,4,0,256.57
2024-01-07,South,Home & Garden,77.96,1,0,77.96
2024-01-07,East,Home & Garden,80.84,3,15,206.15
2024-01-07,North,Clothing,51.91,1,20,41.53
2024-01-07,South,Books,23.79,2,0,47.58
2024-01-07,South,Clothing,54.58,3,10,147.36
2024-01-07,East,Electronics,188.25,2,0,376.51
2024-01-07,South,Electronics,202.73,2,0,405.46
2024-01-07,West,Electronics,161.11,2,0,322.22
2024-01-07,West,Home & Garden,101.11,1,0,101.11
2024-01-07,East,Sports,69.8,3,5,198.94
2024-01-07,South,Electronics,195.27,2,0,390.55
2024-01-07,North,Clothing,29.44,2,0,58.89
2024-01-07,North,Electronics,221.37,4,10,796.93
2024-01-08,North,Sports,50.61,3,0,151.83
2024-01-08,South,Books,18.81,4,15,63.94
2024-01-08,North,Books,15.46,2,0,30.92
2024-01-08,East,Books,30.22,3,10,81.58
2024-01-08,North,Books,28.1,4,0,112.39
2024-01-08,South,Electronics,266.23,4,0,1064.93
2024-01-08,South,Books,15.48,1,0,15.48
2024-01-08,North,Clothing,38.23,1,0,38.23
2024-01-08,North,Clothing,53.55,2,0,107.11
2024-01-09,West,Books,21.86,1,0,21.86
2024-01-09,South,Books,16.98,4,0,67.92
2024-01-09,West,Electronics,212.84,2,10,383.12
2024-01-09,North,Electronics,286.77,2,0,573.54
2024-01-09,South,Books,26.01,3,5,74.12
2024-01-09,West,Home & Garden,71.84,1,5,68.25
2024-01-09,South,Electronics,235.05,2,0,470.1
2024-01-09,North,Home & Garden,96.46,2,15,163.99
2024-01-09,East,Clothing,48.81,1,0,48.81
2024-01-09,East,Home & Garden,71.69,1,0,71.69
2024-01-09,South,Electronics,344.36,3,5,981.43
2024-01-09,North,Home & Garden,88.04,3,10,237.71
2024-01-09,North,Clothing,40.0,3,0,120.01
2024-01-10,East,Home & Garden,87.55,2,0,175.09
2024-01-10,South,Electronics,260.66,4,0,1042.65
2024-01-10,North,Home & Garden,96.71,2,0,193.42
2024-01-10,South,Home & Garden,82.19,4,5,312.31
2024-01-10,North,Home & Garden,94.52,1,0,94.52
2024-01-10,East,Clothing,47.07,2,15,80.02
2024-01-10,North,Electronics,256.26,2,10,461.26
2024-01-10,North,Books,20.28,4,0,81.11
2024-01-10,South,Sports,76.41,2,10,137.54
2024-01-10,North,Clothing,54.59,3,15,139.2
2024-01-10,South,Clothing,18.89,3,0,56.68
2024-01-10,North,Clothing,42.24,3,0,126.71
2024-01-10,North,Clothing,41.93,1,0,41.93
2024-01-10,East,Electronics,186.43,4,0,745.7
2024-01-10,East,Books,22.58,3,20,54.2
2024-01-10,South,Home & Garden,80.28,3,5,228.79
2024-01-10,South,Clothing,44.73,1,0,44.73
2024-01-10,South,Home & Garden,107.77,4,0,431.09
2024-01-11,North,Clothing,15.08,3,15,38.46
2024-01-11,South,Clothing,32.51,3,20,78.01
2024-01-11,West,Books,28.76,4,0,115.05
2024-01-11,North,Electronics,256.17,3,10,691.66
2024-01-11,East,Sports,58.04,3,0,174.13
2024-01-11,East,Books,18.2,1,0,18.2
2024-01-11,South,Clothing,58.04,2,0,116.08
2024-01-11,North,Electronics,145.64,2,15,247.59
2024-01-11,East,Clothing,64.85,3,0,194.56
2024-01-11,East,Clothing,30.6,2,0,61.19
2024-01-11,West,Electronics,359.67,2,5,683.38
2024-01-11,North,Books,24.86,4,0,99.44
2024-01-11,South,Home & Garden,79.38,1,0,79.38
2024-01-11,East,Clothing,46.92,4,0,187.69
2024-01-11,West,Home & Garden,76.32,1,0,76.32
2024-01-12,East,Clothing,67.56,2,5,128.37
2024-01-12,North,Electronics,294.85,3,15,751.87
2024-01-12,West,Home & Garden,113.31,3,0,339.93
2024-01-12,West,Clothing,56.41,2,0,112.82
2024-01-12,North,Electronics,228.25,4,5,867.35
2024-01-12,North,Sports,62.98,3,0,188.94
2024-01-12,East,Clothing,34.32,3,20,82.37
2024-01-12,North,Clothing,74.61,2,0,149.23
2024-01-12,North,Home & Garden,79.89,1,0,79.89
2024-01-12,East,Clothing,37.59,1,0,37.59
2024-01-12,East,Clothing,37.95,3,0,113.84
2024-01-12,North,Electronics,363.28,3,0,1089.83
2024-01-12,East,Clothing,30.16,2,20,48.25
2024-01-12,East,Home & Garden,75.48,1,0,75.48
2024-01-12,East,Sports,58.95,3,0,176.84
2024-01-12,North,Home & Garden,46.78,4,5,177.77
2024-01-12,West,Electronics,301.16,2,0,602.31
2024-01-12,East,Electronics,258.37,4,20,826.77
2024-01-12,West,Clothing,45.32,2,0,90.64
2024-01-12,East,Home & Garden,80.6,4,0,322.38
2024-01-12,North,Electronics,184.84,3,0,554.53
2024-01-13,South,Home & Garden,105.56,1,0,105.56
2024-01-13,West,Home & Garden,81.65,4,15,277.6
2024-01-13,North,Electronics,316.59,1,5,300.76
2024-01-13,South,Clothing,55.35,3,0,166.04
2024-01-13,North,Clothing,48.53,4,5,184.42
2024-01-13,North,Electronics,165.97,4,5,630.69
2024-01-13,East,Clothing,34.67,1,20,27.73
2024-01-13,South,Clothing,32.96,2,5,62.62
2024-01-13,North,Home & Garden,93.65,3,10,252.86
2024-01-13,West,Clothing,32.37,4,0,129.48
2024-01-13,South,Sports,65.74,2,0,131.47
2024-01-13,South,Electronics,217.65,1,20,174.12
2024-01-13,West,Sports,51.02,2,20,81.63
2024-01-13,West,Books,27.1,2,20,43.36
2024-01-13,West,Clothing,38.58,1,0,38.58
2024-01-13,South,Home & Garden,63.2,1,0,63.2
2024-01-13,North,Clothing,46.85,3,20,112.45
2024-01-13,West,Sports,69.88,3,0,209.63
2024-01-13,North,Electronics,375.64,3,5,1070.57
2024-01-13,South,Electronics,293.42,1,20,234.74
2024-01-13,North,Books,14.7,2,0,29.39
2024-01-13,West,Clothing,52.67,1,5,50.04
2024-01-13,South,Books,29.23,4,10,105.24
2024-01-13,West,Sports,67.54,2,0,135.07
2024-01-13,East,Electronics,303.59,1,10,273.23
2024-01-13,West,Electronics,239.56,3,0,718.67
2024-01-14,East,Sports,62.2,4,0,248.8
2024-01-14,North,Home & Garden,80.49,3,0,241.48
2024-01-14,North,Sports,61.35,4,0,245.4
2024-01-14,East,Home & Garden,78.09,4,0,312.38
2024-01-14,East,Sports,64.19,4,0,256.74
2024-01-14,North,Clothing,40.92,2,0,81.83
2024-01-14,North,Electronics,260.91,2,10,469.65
2024-01-14,West,Books,17.21,1,0,17.21
